,Unnamed: 0,pl_hostname,pl_letter,pl_name,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_dens,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_rade,pl_trandur,pl_ratdor,st_lum,st_dens,st_age,st_umbj,pl_kepflag,pl_k2flag,st_dist,st_optmag,pl_facility,pl_disc,pl_locale,pl_telescope,pl_instrument,pl_mnum,pl_pelink
3047,3047,Kepler-254,b,Kepler-254 b,3,5.826662000000001,0.064,,,,5957.0,,0.91,0,,3.87,0.1263,,,,,,1,0,1446.45,15.843,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-254_b/
3048,3048,Kepler-1030,b,Kepler-1030 b,1,19.32952416,,,,,4983.0,0.8,0.76,0,,2.48,0.15708699999999998,,,,4.37,,1,0,795.0,15.719000000000001,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/Kepler-1030_b/
3049,3049,Kepler-1523,b,Kepler-1523 b,1,0.93875077,,,,,5708.0,0.97,0.96,0,,1.58,0.057921,,,,4.37,,1,0,918.0,14.86,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1523_b/
3050,3050,Kepler-1570,b,Kepler-1570 b,1,26.548955,,,,,5550.0,0.92,0.89,0,,1.07,0.33246,,,,4.17,,1,0,463.0,13.960999999999999,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1570_b/
3051,3051,Kepler-1114,b,Kepler-1114 b,1,14.97435694,,,,,5374.0,0.87,0.83,0,,1.35,0.101287,,,,4.27,,1,0,427.0,13.747,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1114_b/
3052,3052,Kepler-1086,b,Kepler-1086 b,2,18.78425728,,,,,4350.0,0.7,0.66,0,,2.44,0.134746,,,,2.88,,1,0,464.0,15.561,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1086_b/
3053,3053,Kepler-1086,c,Kepler-1086 c,2,161.5163345,,,,,4350.0,0.7,0.66,0,,2.94,0.26899999999999996,,,,2.88,,1,0,464.0,15.561,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1086_c/
3054,3054,Kepler-31,d,Kepler-31 d,3,87.6451,0.4,,6.8,,6340.0,1.21,1.22,0,,3.9,0.344,,,,,,1,0,1747.58,15.237,Kepler,2014,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-31_d/
3055,3055,Kepler-31,c,Kepler-31 c,3,42.6318,0.26,,4.7,,6340.0,1.21,1.22,0,,5.3,0.251,,,,,,1,0,1747.58,15.237,Kepler,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-31_c/
3056,3056,Kepler-31,b,Kepler-31 b,3,20.8613,0.16,,,,6340.0,1.21,1.22,0,,5.5,0.20800000000000002,,,,,,1,0,1747.58,15.237,Kepler,2011,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-31_b/
3057,3057,Kepler-1153,b,Kepler-1153 b,1,1.75583533,,,,,5470.0,0.91,0.88,0,,1.73,0.075567,,,,4.57,,1,0,1185.0,15.758,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1153_b/
3058,3058,Kepler-1474,b,Kepler-1474 b,1,36.433345200000005,,,,,5870.0,1.04,1.04,0,,2.16,0.17554,,,,3.8,,1,0,1214.0,15.245999999999999,Kepler,2016,Space,0.95 m Kepler Telescope,Kepler CCD Array,0,http://exoplanet.eu/catalog/kepler-1474_b/
